epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
0,85882,10000000,53.116474,0.096714,0.115356,0.135244,0.178559,0.210277
1,124483,10000000,46.197159,0.133167,0.172401,0.208366,0.288899,0.346023
2,153976,10000000,39.478075,0.138567,0.224210,0.280959,0.408031,0.491668
3,192441,10000000,32.664692,0.111530,0.247660,0.349032,0.535676,0.645491
4,239808,10000000,26.815148,0.114212,0.231239,0.386751,0.660616,0.789148
5,276104,10000000,22.892903,0.130846,0.255817,0.423040,0.737700,0.900968
6,301393,10000000,17.289559,0.194878,0.364312,0.624719,0.863985,0.904357
7,302476,7534747,11.122691,0.425187,0.713220,0.888170,0.898435,0.898855
