epoch,pages,accesses,mean_unique_words,p_le_4,p_le_8,p_le_16,p_le_32,p_le_48
80,442850,10000000,11.074590,0.458828,0.761366,0.878198,0.889997,0.895296
81,438376,10000001,10.973637,0.470674,0.769369,0.877347,0.888117,0.895268
82,456025,10000000,11.164046,0.433097,0.732120,0.877605,0.892824,0.898194
83,448971,10000000,10.964214,0.444594,0.746514,0.881583,0.895503,0.901190
84,448073,10000001,10.944815,0.447900,0.747229,0.880957,0.894901,0.900893
85,442718,10000000,10.975560,0.460250,0.757279,0.878946,0.891132,0.896446
86,457601,10000001,11.255541,0.429171,0.723753,0.876849,0.892994,0.898536
87,462730,10000000,11.138943,0.420628,0.710959,0.878817,0.897415,0.903004
88,465118,10000000,11.067843,0.415563,0.699354,0.879925,0.900184,0.906415
89,447952,10000000,11.120178,0.446684,0.744912,0.878875,0.892618,0.899851
90,464192,10000000,11.131904,0.415108,0.700553,0.879584,0.899272,0.904175
91,454045,10000000,11.164880,0.433078,0.727426,0.877585,0.892995,0.897849
92,471111,10000000,11.123351,0.404607,0.677520,0.879508,0.903558,0.908079
93,437869,10000000,10.948048,0.469140,0.764309,0.878671,0.890040,0.896967
94,462302,10000000,11.244451,0.419185,0.705069,0.877282,0.896371,0.900876
95,462143,10000001,11.185453,0.418135,0.704122,0.879496,0.898789,0.903426
96,470560,10000000,11.249547,0.405170,0.677676,0.878519,0.902287,0.905974
97,468413,10000000,11.394923,0.408821,0.686127,0.876600,0.898630,0.902652
98,464315,10000000,11.473106,0.414191,0.695920,0.874992,0.894544,0.899286
99,441750,10000000,11.058848,0.458721,0.752360,0.876115,0.888715,0.899149
100,480784,10000000,11.277104,0.389435,0.642116,0.874540,0.906336,0.912027
101,471348,10000000,11.229361,0.401561,0.671103,0.876794,0.901873,0.907917
102,484346,10000000,11.439401,0.383534,0.628867,0.872015,0.906792,0.912317
103,459940,10000000,11.267496,0.418542,0.704290,0.878502,0.897178,0.901461
104,480285,10000000,11.388673,0.389833,0.641875,0.872732,0.904829,0.909745
