epoch,k,n,algo,hpt_access_ratio,hpt_recall,hwt_access_ratio,hwt_recall,exact_pages,exact_words
22,10000,1024,spacesaving,0.066865,0.057400,0.037307,0.006500,81322,1626715
22,10000,16384,spacesaving,0.780501,0.681200,0.361987,0.052200,81322,1626715
22,10000,262144,spacesaving,1.000000,1.000000,0.412606,0.087200,81322,1626715
23,10000,1024,spacesaving,0.070681,0.069000,0.044435,0.009600,65414,1451248
23,10000,16384,spacesaving,0.975146,0.951700,0.429493,0.079300,65414,1451248
23,10000,262144,spacesaving,1.000000,1.000000,0.487665,0.133000,65414,1451248
24,10000,1024,spacesaving,0.058309,0.050000,0.041126,0.008700,83625,1728802
24,10000,16384,spacesaving,0.597983,0.532800,0.403422,0.079000,83625,1728802
24,10000,262144,spacesaving,1.000000,1.000000,0.414746,0.072300,83625,1728802
25,10000,1024,spacesaving,0.060773,0.042500,0.039048,0.003200,97026,1873196
25,10000,16384,spacesaving,0.641007,0.525300,0.381557,0.033100,97026,1873196
25,10000,262144,spacesaving,1.000000,1.000000,0.382563,0.028200,97026,1873196
26,10000,1024,spacesaving,0.081558,0.083000,0.053608,0.030700,31365,1309441
26,10000,16384,spacesaving,0.997591,0.949700,0.524242,0.302300,31365,1309441
26,10000,262144,spacesaving,1.000000,1.000000,0.520071,0.260800,31365,1309441
27,10000,1024,spacesaving,0.153433,0.102400,0.102380,0.102400,16133,1028588
27,10000,16384,spacesaving,1.000000,1.000000,0.999800,1.000000,16133,1028588
27,10000,262144,spacesaving,1.000000,1.000000,0.999750,0.999900,16133,1028588
