epoch,k,n,algo,hpt_access_ratio,hpt_recall,hwt_access_ratio,hwt_recall,exact_pages,exact_words
0,128,50,cmsketch,0.789016,0.000000,0.576259,0.000000,197225,3608780
0,128,128,cmsketch,0.662279,0.007812,0.574879,0.000000,197225,3608780
0,128,512,cmsketch,0.723022,0.007812,0.577640,0.000000,197225,3608780
0,128,2048,cmsketch,0.456060,0.000000,0.576259,0.000000,197225,3608780
0,128,8192,cmsketch,0.545087,0.015625,0.612146,0.000000,197225,3608780
